Interval=	0.0005 s
ExcelDateTime=	4.5061542499698298e+004	5/15/2023 13:01:11.973933
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
15.051	0.321
15.0515	0.339
15.052	0.351
15.0525	0.363
15.053	0.372
15.0535	0.375
15.054	0.370
15.0545	0.359
15.055	0.347
15.0555	0.337
15.056	0.330
15.0565	0.329
15.057	0.333
15.0575	0.340
15.058	0.354
15.0585	0.374
15.059	0.390
15.0595	0.390
15.06	0.374
15.0605	0.348
15.061	0.323
15.0615	0.303
15.062	0.284
15.0625	0.258
15.063	0.221
15.0635	0.177
15.064	0.131
15.0645	0.091
15.065	0.052
15.0655	0.015
15.066	-0.021
15.0665	-0.059
15.067	-0.094
15.0675	-0.119
15.068	-0.129
15.0685	-0.125
15.069	-0.105
15.0695	-0.068
15.07	-0.028
15.0705	-0.000
15.071	0.017
15.0715	0.027
15.072	0.039
15.0725	0.058
15.073	0.085
15.0735	0.117
15.074	0.150
15.0745	0.184
15.075	0.219
15.0755	0.250
15.076	0.280
15.0765	0.307
15.077	0.328
15.0775	0.336
15.078	0.332
15.0785	0.321
15.079	0.307
15.0795	0.292
15.08	0.284
15.0805	0.288
15.081	0.304
15.0815	0.330
15.082	0.360
15.0825	0.384
15.083	0.394
15.0835	0.385
15.084	0.360
15.0845	0.319
15.085	0.265
15.0855	0.217
15.086	0.175
15.0865	0.127
15.087	0.078
15.0875	0.031
15.088	-0.013
15.0885	-0.049
15.089	-0.079
15.0895	-0.103
15.09	-0.123
15.0905	-0.136
15.091	-0.144
15.0915	-0.145
15.092	-0.142
15.0925	-0.136
15.093	-0.119
15.0935	-0.087
15.094	-0.042
15.0945	0.011
15.095	0.073
15.0955	0.133
15.096	0.185
15.0965	0.227
15.097	0.262
15.0975	0.284
15.098	0.284
15.0985	0.252
15.099	0.180
15.0995	0.058
15.1	-0.120
15.1005	-0.344
15.101	-0.570
15.1015	-0.744
15.102	-0.823
15.1025	-0.781
15.103	-0.620
15.1035	-0.367
15.104	-0.072
15.1045	0.203
15.105	0.404
15.1055	0.530
15.106	0.589
15.1065	0.578
15.107	0.515
15.1075	0.418
15.108	0.306
15.1085	0.191
15.109	0.081
15.1095	-0.020
15.11	-0.108
15.1105	-0.181
15.111	-0.236
15.1115	-0.274
15.112	-0.298
15.1125	-0.314
15.113	-0.325
15.1135	-0.328
15.114	-0.319
15.1145	-0.297
15.115	-0.267
15.1155	-0.235
15.116	-0.199
15.1165	-0.157
15.117	-0.116
15.1175	-0.082
15.118	-0.059
15.1185	-0.051
15.119	-0.042
15.1195	-0.024
15.12	-0.005
15.1205	0.012
15.121	0.027
15.1215	0.046
15.122	0.076
15.1225	0.113
15.123	0.146
15.1235	0.169
15.124	0.183
15.1245	0.189
15.125	0.186
15.1255	0.186
15.126	0.197
15.1265	0.208
15.127	0.223
15.1275	0.243
15.128	0.264
15.1285	0.281
15.129	0.288
15.1295	0.284
15.13	0.273
15.1305	0.261
15.131	0.250
15.1315	0.243
15.132	0.239
15.1325	0.234
15.133	0.229
15.1335	0.223
15.134	0.213
15.1345	0.193
15.135	0.165
15.1355	0.141
15.136	0.127
15.1365	0.126
15.137	0.133
15.1375	0.138
15.138	0.138
15.1385	0.129
15.139	0.114
15.1395	0.099
15.14	0.091
15.1405	0.096
15.141	0.123
15.1415	0.164
15.142	0.211
15.1425	0.257
15.143	0.286
15.1435	0.287
15.144	0.269
15.1445	0.239
15.145	0.199
15.1455	0.169
15.146	0.157
15.1465	0.160
15.147	0.168
15.1475	0.175
15.148	0.179
15.1485	0.182
15.149	0.186
15.1495	0.194
15.15	0.205
15.1505	0.220
15.151	0.237
15.1515	0.257
15.152	0.270
15.1525	0.277
15.153	0.278
15.1535	0.274
15.154	0.262
15.1545	0.242
15.155	0.215
15.1555	0.190
15.156	0.173
15.1565	0.164
15.157	0.157
15.1575	0.151
15.158	0.147
15.1585	0.147
15.159	0.146
15.1595	0.142
15.16	0.137
15.1605	0.135
15.161	0.137
15.1615	0.134
15.162	0.123
15.1625	0.107
15.163	0.092
15.1635	0.083
15.164	0.082
15.1645	0.084
15.165	0.078
15.1655	0.074
15.166	0.081
15.1665	0.092
15.167	0.106
15.1675	0.123
15.168	0.144
15.1685	0.159
15.169	0.168
15.1695	0.170
15.17	0.168
15.1705	0.163
15.171	0.163
15.1715	0.168
15.172	0.175
15.1725	0.179
15.173	0.181
15.1735	0.181
15.174	0.185
15.1745	0.196
15.175	0.214
15.1755	0.237
15.176	0.256
15.1765	0.259
15.177	0.235
15.1775	0.173
15.178	0.071
15.1785	-0.078
15.179	-0.287
15.1795	-0.554
15.18	-0.832
15.1805	-1.053
15.181	-1.162
15.1815	-1.135
15.182	-0.977
15.1825	-0.719
15.183	-0.413
15.1835	-0.123
15.184	0.103
15.1845	0.236
15.185	0.276
15.1855	0.255
15.186	0.191
15.1865	0.095
15.187	-0.008
15.1875	-0.104
15.188	-0.185
15.1885	-0.253
15.189	-0.301
15.1895	-0.326
15.19	-0.335
15.1905	-0.335
15.191	-0.320
15.1915	-0.286
15.192	-0.233
15.1925	-0.165
15.193	-0.088
15.1935	-0.006
15.194	0.073
15.1945	0.141
15.195	0.199
15.1955	0.247
15.196	0.291
15.1965	0.333
15.197	0.373
15.1975	0.407
15.198	0.435
15.1985	0.462
15.199	0.491
15.1995	0.512
15.2	0.514
15.2005	0.499
15.201	0.484
15.2015	0.478
15.202	0.472
15.2025	0.459
15.203	0.434
15.2035	0.396
15.204	0.351
