Interval=	0.0005 s
ExcelDateTime=	4.5061510865477096e+004	5/15/2023 12:15:38.777221
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
130.828	-0.145
130.8285	-0.173
130.829	-0.187
130.8295	-0.187
130.83	-0.179
130.8305	-0.161
130.831	-0.121
130.8315	-0.062
130.832	0.000
130.8325	0.054
130.833	0.105
130.8335	0.162
130.834	0.219
130.8345	0.253
130.835	0.228
130.8355	0.161
130.836	0.035
130.8365	-0.175
130.837	-0.443
130.8375	-0.779
130.838	-1.085
130.8385	-1.394
130.839	-1.616
130.8395	-1.585
130.84	-1.418
130.8405	-1.138
130.841	-0.789
130.8415	-0.449
130.842	-0.152
130.8425	0.072
130.843	0.224
130.8435	0.306
130.844	0.330
130.8445	0.312
130.845	0.274
130.8455	0.234
130.846	0.189
130.8465	0.133
130.847	0.061
130.8475	-0.007
130.848	-0.051
130.8485	-0.073
130.849	-0.092
130.8495	-0.110
130.85	-0.113
130.8505	-0.089
130.851	-0.042
130.8515	0.014
130.852	0.072
130.8525	0.135
130.853	0.200
130.8535	0.256
130.854	0.295
130.8545	0.325
130.855	0.353
130.8555	0.383
130.856	0.404
130.8565	0.415
130.857	0.424
130.8575	0.422
130.858	0.446
130.8585	0.370
130.859	0.235
130.8595	0.217
130.86	0.219
130.8605	0.245
130.861	0.296
130.8615	0.345
130.862	0.399
130.8625	0.446
130.863	0.481
130.8635	0.497
130.864	0.499
130.8645	0.494
130.865	0.482
130.8655	0.457
130.866	0.412
130.8665	0.347
130.867	0.277
130.8675	0.219
130.868	0.180
130.8685	0.146
130.869	0.110
130.8695	0.082
130.87	0.069
130.8705	0.072
130.871	0.091
130.8715	0.122
130.872	0.166
130.8725	0.216
130.873	0.254
130.8735	0.275
130.874	0.287
130.8745	0.300
130.875	0.312
130.8755	0.318
130.876	0.316
130.8765	0.317
130.877	0.330
130.8775	0.327
130.878	0.343
130.8785	0.260
130.879	0.127
130.8795	0.122
130.88	0.121
130.8805	0.126
130.881	0.146
130.8815	0.171
130.882	0.212
130.8825	0.250
130.883	0.281
130.8835	0.301
130.884	0.309
130.8845	0.303
130.885	0.278
130.8855	0.224
130.886	0.137
130.8865	0.035
130.887	-0.057
130.8875	-0.129
